# ZDT 采样  2026-09-17 00:28:16
# 电机=[1, 2]  目标=20Hz  轮询等待=0.08s
# 角度 度 / 电压 mV / 电流 mA / speed_rpm 带符号 / *_flags 为位域原件
t_s,addr,bus_mv,phase_ma,encoder,target_deg,speed_rpm,pos_deg,err_deg,homing_flags,motor_status
7.91222,2,11204,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.957099,1,11057,12,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.9721,2,11159,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.016738,1,11052,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.031766,2,11183,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.07778,1,10994,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.092803,2,11200,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.138978,1,11047,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.154157,2,11189,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.200109,1,11048,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.214858,2,11208,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.260148,1,11017,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.274925,2,11221,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.321611,1,11063,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.336113,2,11170,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.38088,1,11042,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.395978,2,11181,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.441209,1,11052,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.456205,2,11167,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.501599,1,11059,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.516288,2,11159,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.562808,1,11066,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.579279,2,11174,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.624274,1,11041,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.63927,2,11176,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.685072,1,11020,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.700204,2,11183,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.745609,1,11056,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.759954,2,11190,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.804647,1,11047,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.820451,2,11164,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.865089,1,11046,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.879903,2,11209,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.926051,1,11042,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
8.94086,2,11213,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
8.985657,1,11030,12,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
9.000868,2,11172,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
9.047713,1,11044,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
9.063771,2,11207,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
9.107235,1,11022,12,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
9.122617,2,11141,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
9.168867,1,11047,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
9.184028,2,11159,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
9.229595,1,11013,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
9.244672,2,11162,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
9.290396,1,11033,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
9.305405,2,11175,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
9.349986,1,11045,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
9.364991,2,11155,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
9.411543,1,11013,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
9.426051,2,11193,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
9.472725,1,11052,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
