# scope 实时采样  2026-09-17 01:19:34
# 电机=[1, 2]  目标=20Hz
# 角度 度 / 电压 mV / 电流 mA / speed_rpm 带符号
t_s,addr,bus_mv,phase_ma,encoder,target_deg,speed_rpm,pos_deg,err_deg,homing_flags,motor_status
3.322046,1,10977,15,32673,160.6256103515625,0,190.931396484375,-0.3515625,3,1
3.324045,2,11123,17,63277,177.5665283203125,0,147.271728515625,0.4010009765625,3,1
3.376135,1,10912,22,32425,160.6256103515625,-4,189.569091796875,-0.615234375,3,1
3.402135,2,11071,46,63557,177.5665283203125,4,148.809814453125,0.6536865234375,3,1
3.452786,1,10888,47,31391,160.6256103515625,-13,183.88916015625,-0.8734130859375,3,1
3.455353,2,11020,64,64595,177.5665283203125,13,154.51171875,0.8843994140625,3,1
3.517362,1,10887,42,29995,160.6256103515625,-20,176.220703125,-0.977783203125,3,1
3.538874,2,11078,59,533,177.5665283203125,21,162.608642578125,0.8953857421875,3,1
3.591397,1,10872,37,28293,160.6256103515625,-19,166.871337890625,-0.340576171875,3,1
3.593883,2,11025,52,2163,177.5665283203125,19,171.5625,0.32958984375,3,1
3.646782,1,10914,45,27633,160.6256103515625,-13,163.245849609375,-0.0604248046875,3,1
3.648948,2,11117,52,2923,177.5665283203125,12,175.7373046875,-0.0164794921875,3,1
3.733784,1,10963,31,27102,160.6256103515625,-4,160.3289794921875,0.318603515625,3,3
3.736531,2,11081,58,3322,177.5665283203125,2,177.9290771484375,-0.3570556640625,3,3
3.793535,1,10963,14,27090,160.6256103515625,0,160.2630615234375,0.362548828125,3,3
3.830409,2,11163,32,3322,177.5665283203125,0,177.9290771484375,-0.3570556640625,3,3
3.843974,1,10955,15,27090,160.6256103515625,0,160.2630615234375,0.362548828125,3,3
3.878975,2,11148,21,3322,177.5665283203125,0,177.9290771484375,-0.3570556640625,3,3
3.919903,1,10962,15,27090,160.6256103515625,0,160.2630615234375,0.362548828125,3,3
3.921907,2,11120,16,3322,177.5665283203125,0,177.9290771484375,-0.3570556640625,3,3
3.980002,1,10980,16,27094,160.6256103515625,0,160.2850341796875,0.340576171875,3,3
4.015059,2,11127,17,3320,177.5665283203125,0,177.9180908203125,-0.3460693359375,3,3
4.058325,1,10946,32,27110,160.6256103515625,0,160.3729248046875,0.252685546875,3,3
4.060681,2,11106,18,3306,177.5665283203125,0,177.8411865234375,-0.2691650390625,3,3
4.117582,1,10994,41,27120,160.6256103515625,0,160.4278564453125,0.19775390625,3,3
4.122954,2,11107,17,3298,177.5665283203125,0,177.7972412109375,-0.2252197265625,3,3
4.175651,1,10967,40,27132,160.6256103515625,0,160.4937744140625,0.1318359375,3,3
4.203503,2,11116,16,3288,177.5665283203125,0,177.7423095703125,-0.1702880859375,3,3
4.24972,1,10977,39,27138,160.6256103515625,0,160.5267333984375,0.098876953125,3,3
4.251718,2,11121,19,3280,177.5665283203125,0,177.6983642578125,-0.1263427734375,3,3
4.312748,1,10946,41,27140,160.6256103515625,0,160.5377197265625,0.087890625,3,3
4.348002,2,11113,21,3274,177.5665283203125,0,177.6654052734375,-0.0933837890625,3,3
4.387216,1,10954,43,27146,160.6256103515625,0,160.5706787109375,0.054931640625,3,3
4.389223,2,11097,25,3270,177.5665283203125,0,177.6434326171875,-0.0714111328125,3,3
4.450864,1,10945,42,27148,160.6256103515625,0,160.5816650390625,0.0439453125,3,3
4.484801,2,11078,28,3268,177.5665283203125,0,177.6324462890625,-0.0604248046875,3,3
4.52944,1,10965,42,27150,160.6256103515625,0,160.5926513671875,0.032958984375,3,3
4.53209,2,11104,33,3264,177.5665283203125,0,177.6104736328125,-0.0384521484375,3,3
4.575164,1,10940,40,27152,160.6256103515625,0,160.6036376953125,0.02197265625,3,3
4.577168,2,11098,33,3264,177.5665283203125,0,177.6104736328125,-0.0384521484375,3,3
4.635721,1,10939,43,27152,160.6256103515625,0,160.6036376953125,0.02197265625,3,3
4.638333,2,11041,33,3262,177.5665283203125,0,177.5994873046875,-0.0274658203125,3,3
4.692429,1,10936,42,27154,160.6256103515625,0,160.6146240234375,0.010986328125,3,3
4.726015,2,11064,34,3262,177.5665283203125,0,177.5994873046875,-0.0274658203125,3,3
4.765424,1,10973,44,27154,160.6256103515625,0,160.6146240234375,0.010986328125,3,3
4.767931,2,11090,35,3260,177.5665283203125,0,177.5885009765625,-0.0164794921875,3,3
4.821731,1,10969,43,27154,160.6256103515625,0,160.6146240234375,0.010986328125,3,3
4.823729,2,11066,36,3260,177.5665283203125,0,177.5885009765625,-0.0164794921875,3,3
4.875974,1,10947,41,27156,160.6256103515625,0,160.6256103515625,0.0,3,3
4.906884,2,11055,38,3260,177.5665283203125,0,177.5885009765625,-0.0164794921875,3,3
4.951331,1,10913,42,27156,160.6256103515625,0,160.6256103515625,0.0,3,3
4.953385,2,11083,36,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.015113,1,10950,43,27156,160.6256103515625,0,160.6256103515625,0.0,3,3
5.04848,2,11080,37,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.095044,1,10953,38,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.096937,2,11140,38,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.151215,1,10956,38,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.186013,2,11084,39,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.230843,1,10983,16,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.232878,2,11099,40,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.292154,1,11006,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.294154,2,11125,39,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.347889,1,10969,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.381225,2,11067,40,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.41917,1,10978,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
